id,title,directors,genres_list,prod_companies,vote_average
862,Toy Story,John Lasseter,"Animation,Comedy,Family",Pixar Animation Studios,7.7
8844,Jumanji,Joe Johnston,"Adventure,Fantasy,Family","TriStar Pictures,Teitler Film,Interscope Communications",6.9
15602,Grumpier Old Men,Howard Deutch,"Romance,Comedy","Warner Bros.,Lancaster Gate",6.5
31357,Waiting to Exhale,Forest Whitaker,"Comedy,Drama,Romance",Twentieth Century Fox Film Corporation,6.1
11862,Father of the Bride Part II,Charles Shyer,Comedy,"Sandollar Productions,Touchstone Pictures",5.7
949,Heat,Michael Mann,"Action,Crime,Drama,Thriller","Regency Enterprises,Forward Pass,Warner Bros.",7.7
11860,Sabrina,Sydney Pollack,"Comedy,Romance","Paramount Pictures,Scott Rudin Productions,Mirage Enterprises,Sandollar Productions,Constellation Entertainment,Worldwide,Mont Blanc Entertainment GmbH",6.2
45325,Tom and Huck,Peter Hewitt,"Action,Adventure,Drama,Family",Walt Disney Pictures,5.4
9091,Sudden Death,Peter Hyams,"Action,Adventure,Thriller","Universal Pictures,Imperial Entertainment,Signature Entertainment",5.5
710,GoldenEye,Martin Campbell,"Adventure,Action,Thriller","United Artists,Eon Productions",6.6
9087,The American President,Rob Reiner,"Comedy,Drama,Romance","Columbia Pictures,Castle Rock Entertainment",6.5
12110,Dracula: Dead and Loving It,Mel Brooks,"Comedy,Horror","Columbia Pictures,Castle Rock Entertainment,Enigma Pictures",5.7
21032,Balto,Simon Wells,"Family,Animation,Adventure","Universal Pictures,Amblin Entertainment,Amblimation",7.1
10858,Nixon,Oliver Stone,"History,Drama","Hollywood Pictures,Cinergi Pictures Entertainment",7.1
1408,Cutthroat Island,Renny Harlin,"Action,Adventure","Le Studio Canal+,Laurence Mark Productions,Metro-Goldwyn-Mayer (MGM),Carolco Pictures",5.7
524,Casino,Martin Scorsese,"Drama,Crime","Universal Pictures,Légende Entreprises,Syalis DA,De Fina-Cappa",7.8
4584,Sense and Sensibility,Ang Lee,"Drama,Romance","Columbia Pictures Corporation,Mirage Enterprises",7.2
5,Four Rooms,"Allison Anders,Alexandre Rockwell,Robert Rodriguez,Quentin Tarantino","Crime,Comedy","Miramax Films,A Band Apart",6.5
9273,Ace Ventura: When Nature Calls,Steve Oedekerk,"Crime,Comedy,Adventure","O Entertainment,Warner Bros.,Morgan Creek Productions",6.1
